iter	Passed	Remaining
0	316	315738
1	321	160249
2	326	108344
3	330	82405
4	336	66868
5	340	56464
6	345	49034
7	349	43357
8	351	38721
9	353	35003
10	355	31935
11	357	29396
12	358	27242
13	360	25367
14	361	23737
15	362	22303
16	363	21042
17	365	19912
18	366	18902
19	367	17988
20	368	17172
21	369	16432
22	370	15746
23	371	15112
24	372	14528
25	373	13988
26	374	13489
27	375	13027
28	376	12597
29	377	12198
30	378	11824
31	379	11470
32	380	11144
33	381	10833
34	382	10541
35	383	10273
36	384	10011
37	385	9762
38	386	9527
39	387	9302
40	388	9089
41	389	8885
42	390	8691
43	391	8505
44	392	8327
45	393	8158
46	394	7996
47	395	7843
48	396	7693
49	397	7554
50	398	7416
51	399	7285
52	400	7157
53	401	7034
54	402	6915
55	403	6801
56	404	6692
57	405	6586
58	406	6482
59	407	6382
60	408	6286
61	409	6193
62	410	6103
63	411	6021
64	412	5937
65	413	5853
66	414	5773
67	415	5689
68	416	5613
69	416	5539
70	417	5467
71	418	5397
72	419	5329
73	420	5264
74	421	5201
75	422	5140
76	423	5079
77	424	5020
78	425	4965
79	426	4910
80	427	4855
81	428	4802
82	429	4749
83	430	4696
84	431	4644
85	432	4596
86	433	4545
87	434	4498
88	435	4453
89	436	4408
90	437	4365
91	437	4322
92	438	4279
93	439	4239
94	440	4200
95	442	4162
96	443	4124
97	443	4086
98	444	4049
99	445	4012
100	446	3977
101	447	3938
102	448	3904
103	449	3871
104	450	3839
105	451	3806
106	452	3774
107	453	3742
108	454	3712
109	455	3682
110	456	3654
111	457	3625
112	458	3597
113	459	3569
114	460	3541
115	461	3513
116	462	3487
117	462	3460
118	463	3432
119	464	3407
120	465	3382
121	466	3358
122	467	3330
123	468	3306
124	468	3282
125	470	3260
126	471	3239
127	471	3214
128	472	3193
129	473	3171
130	474	3149
131	475	3128
132	476	3107
133	477	3086
134	478	3066
135	479	3046
136	480	3027
137	481	3006
138	482	2987
139	483	2969
140	484	2949
141	485	2933
142	486	2915
143	487	2897
144	488	2879
145	489	2861
146	490	2844
147	491	2828
148	492	2811
149	493	2795
150	494	2779
151	495	2762
152	496	2746
153	497	2730
154	497	2714
155	498	2698
156	500	2685
157	501	2670
158	502	2655
159	503	2640
160	504	2626
161	505	2612
162	506	2598
163	507	2584
164	508	2571
165	508	2556
166	509	2543
167	510	2530
168	511	2516
169	512	2503
170	513	2490
171	514	2478
172	515	2465
173	516	2453
174	517	2441
175	518	2429
176	519	2417
177	520	2405
178	521	2393
179	522	2381
180	523	2367
181	524	2355
182	525	2344
183	525	2332
184	526	2321
185	527	2310
186	529	2301
187	530	2291
188	531	2279
189	532	2269
190	533	2258
191	534	2247
